datetime,id,value
1604395800,3,0.0
1604395800,5,0.015
1604395800,6,0.002
1604395800,9,0.044
1604396700,2,0.016
1604396700,3,0.0
1604396700,5,0.024
1604396700,6,0.003
1604396700,9,0.0
1604397600,2,0.021
1604397600,3,0.0
1604397600,5,0.019
1604397600,6,0.006
1604397600,9,0.023
1604398500,2,0.011
1604398500,3,0.0
1604398500,5,0.015
1604398500,6,0.003
1604398500,9,0.011
1604399400,2,0.014
1604399400,3,0.0
1604399400,5,0.015
1604399400,6,0.0
1604399400,9,0.027
1604400300,2,0.02
1604400300,3,0.0
1604400300,5,0.022
1604400300,6,0.0
1604400300,9,0.197
1604401200,2,0.015
1604401200,3,0.0
1604401200,5,0.019
1604401200,6,0.0
1604401200,9,0.427
1604402100,2,0.059
1604402100,3,0.0
1604402100,5,0.016
1604402100,6,0.0
1604402100,9,0.422
1604403000,2,0.024
1604403000,3,0.0
1604403000,5,0.016
1604403000,6,0.0
1604403000,9,0.058
1604403900,2,0.013
1604403900,3,0.0
1604403900,5,0.041
1604403900,6,0.0
1604403900,9,0.082
1604404800,2,0.014
1604404800,3,0.0
1604404800,5,0.023
1604404800,6,0.0
1604404800,9,0.071
1604405700,2,0.023
1604405700,3,0.0
1604405700,5,0.035
1604405700,6,0.0
1604405700,9,0.035
1604406600,2,0.012
1604406600,3,0.0
1604406600,5,0.015
1604406600,6,0.0
1604406600,9,0.028
1604407500,2,0.114
1604407500,3,0.0
1604407500,5,0.025
1604407500,6,0.0
1604407500,9,0.082
1604408400,2,0.199
1604408400,3,0.0
1604408400,5,0.02
1604408400,6,0.0
1604408400,9,0.039
1604409300,2,0.188
1604409300,3,0.0
1604409300,5,0.031
1604409300,6,0.0
1604409300,9,0.021
1604410200,2,0.187
1604410200,3,0.0
1604410200,5,0.06
1604410200,6,0.0
1604410200,9,0.016
1604411100,2,0.196
1604411100,3,0.0
1604411100,5,0.081
1604411100,6,0.0
1604411100,9,0.017
1604412000,2,0.123
1604412000,3,0.0
1604412000,5,0.038
1604412000,6,0.0
1604412000,9,0.026
1604412900,2,0.016
1604412900,3,0.0
1604412900,5,0.031
1604412900,6,0.0
1604412900,9,0.033
1604413800,2,0.024
1604413800,3,0.0
1604413800,5,0.049
1604413800,6,0.0
1604413800,9,0.035
1604414700,2,0.012
1604414700,3,0.0
1604414700,5,0.054
1604414700,6,0.0
1604414700,9,0.001
1604415600,2,0.018
1604415600,3,0.0
1604415600,5,0.033
1604415600,6,0.0
1604415600,9,0.031
1604416500,2,0.03
1604416500,3,0.0
1604416500,5,0.017
1604416500,6,0.0
1604416500,9,0.03
1604417400,2,0.041
1604417400,3,0.0
1604417400,5,0.021
1604417400,6,0.0
1604417400,9,0.027
1604418300,2,0.049
1604418300,3,0.0
1604418300,5,0.028
1604418300,6,0.0
1604418300,9,0.025
1604419200,2,0.035
1604419200,3,0.0
1604419200,5,0.028
1604419200,6,0.0
1604419200,9,0.001
1604420100,2,0.075
1604420100,3,0.0
1604420100,5,0.016
1604420100,6,0.0
1604420100,9,0.05
1604421000,2,0.104
1604421000,3,0.0
1604421000,5,0.019
1604421000,6,0.0
1604421000,9,0.054
1604421900,2,0.036
1604421900,3,0.0
1604421900,5,0.032
1604421900,6,0.0
1604421900,9,0.05
1604422800,2,0.051
1604422800,3,0.0
1604422800,5,0.022
1604422800,6,0.0
1604422800,9,0.018
1604423700,2,0.045
1604423700,3,0.0
1604423700,5,0.02
1604424600,2,0.012
1604424600,3,0.0
1604424600,5,0.021
1604425500,2,0.028
1604425500,3,0.0
1604425500,5,0.032
1604426400,2,0.018
1604426400,3,0.0
1604426400,5,0.016
1604427300,2,0.038
1604427300,3,0.0
1604427300,5,0.019
1604428200,2,0.038
1604428200,3,0.0
1604428200,5,0.024
1604429100,2,0.03
1604429100,3,0.0
1604429100,5,0.03
1604430000,2,0.072
1604430000,3,0.0
